Reference,Value,Datasheet,Footprint,Qty,DNP,Value,Digikey
"C1,C2",C,~,Capacitor_SMD:C_0603_1608Metric,2,,1uF,Done
D1,LED,~,LED_THT:LED_D5.0mm_Clear,1,,,Done
D2,BPW34-SMD,https://dammedia.osram.info/media/resource/hires/osram-dam-5488319/BPW%2034%20S_EN.pdf,OptoDevice:Osram_BPW34S-SMD,1,,"940nM, 850nM",Done
J1,Conn_2,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,,,n/a
"R1,R2",R,~,-- mixed values --,2,,"100,220, 330,470 ohm",Done
U1,ATtiny85,http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf,Package_SO:SOIC-8W_5.3x5.3mm_P1.27mm,1,,,Done
U2,MIC5504,MIC5504-3.3YM5-TR,Package_TO_SOT_SMD:SOT-23-5,1,,,Done
